movie_id,movie_cd,title,release_date,poster_image_url,kinolights_url,priority_reason
1673,TMDB-496243,기생충,2019-05-30,https://image.tmdb.org/t/p/w500/jjHccoFjbqlfr4VGLVLT7yek0Xn.jpg,,RECOMMENDED
415,20162365,신비한 동물사전,2016-11-16,https://image.tmdb.org/t/p/w500/1HHH1YR2UL5JLkrsbO6gfcg0gna.jpg,,RECOMMENDED
431,20167904,라라랜드,2016-12-01,https://image.tmdb.org/t/p/w500/ad9ndytwOckyShSc0A6tx1rZRkW.jpg,,RECOMMENDED
322,20136803,겨울왕국,2013-11-20,https://image.tmdb.org/t/p/w500/lYceQKe3EsYn7VdDXGTy7dSwBLp.jpg,,RECOMMENDED
354,20145141,위플래쉬,2014-10-10,https://image.tmdb.org/t/p/w500/oKNkhmyIBiDENivK6ELZxfBWa3q.jpg,,RECOMMENDED
328,20139221,그래비티,2013-10-03,https://image.tmdb.org/t/p/w500/u8ffl7CRAS12KA8eQEtkLuHg8Fm.jpg,,RECOMMENDED
583,20210087,듄,2021-09-15,https://image.tmdb.org/t/p/w500/7zV8FTYofAORGm0Umgh1mNNCym8.jpg,,RECOMMENDED
141,20081697,트와일라잇,2008-11-20,https://image.tmdb.org/t/p/w500/ryvt6cLTjHHH7Nnce3Xi5S3I533.jpg,,RECOMMENDED
43,20060264,악마는 프라다를 입는다,2006-06-29,https://image.tmdb.org/t/p/w500/lxjGbkRnY9d2j8cxIHxX57NNvRH.jpg,,RECOMMENDED
727,TMDB-1417,판의 미로: 오필리아와 세개의 열쇠,2006-10-11,https://image.tmdb.org/t/p/w500/dsaQY07ioldk1fpEqm394slWepM.jpg,,RECOMMENDED
774,TMDB-361743,탑건: 매버릭,2022-05-21,https://image.tmdb.org/t/p/w500/jeqXUwNilvNqNXqAHsdwm5pEfae.jpg,,RECOMMENDED
471,20179462,위대한 쇼맨,2017-12-20,https://image.tmdb.org/t/p/w500/h8qzZtSScJV1zIf6lVc4449Zgui.jpg,,RECOMMENDED
179,20090828,뉴 문,2009-11-18,https://image.tmdb.org/t/p/w500/q1zQIaDMBgLzpW8Hikzhau1InvI.jpg,,RECOMMENDED
295,20129790,아르고,2012-10-11,https://image.tmdb.org/t/p/w500/n9krGDgUlxm5Uh6pZTfTEEKgeTm.jpg,,RECOMMENDED
329,20139601,더 퍼지,2013-05-31,https://image.tmdb.org/t/p/w500/Qd2crPWDD55p1ygqC9dSxm14NA.jpg,,RECOMMENDED
412,20162025,씽,2016-11-23,https://image.tmdb.org/t/p/w500/kKDXw5uRCioD522P1skH49YLNAH.jpg,,RECOMMENDED
297,20132821,캡틴 필립스,2013-10-10,https://image.tmdb.org/t/p/w500/j1alZP36HCilZ8VN9FOFTUC5qUO.jpg,,RECOMMENDED
2,20030404,러브 액츄얼리,2003-09-07,https://image.tmdb.org/t/p/w500/tvaPe5kPoJCLn0xycctkHUaph7w.jpg,,RECOMMENDED
143,20081703,예스맨,2008-12-09,https://image.tmdb.org/t/p/w500/p9xAOBSFf8PPiD9qtYDiUATAWmt.jpg,,RECOMMENDED
374,20152871,스파이 브릿지,2015-10-15,https://image.tmdb.org/t/p/w500/eHBoCS5nnJd7lg7XVuHbiwJ2waD.jpg,,RECOMMENDED
119,20081169,맘마미아!,2008-07-03,https://image.tmdb.org/t/p/w500/9fnWov6Mb7LJKA2dJLV9h1mcSnF.jpg,,RECOMMENDED
390,20156007,인페르노,2016-10-13,https://image.tmdb.org/t/p/w500/tAdpfrbdll9WjDAS92vq1dx3pYn.jpg,,RECOMMENDED
